Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Karl Kraus","11988","Richard Beer-Hofmann","10863","356","Directed","Karl Kraus–Richard Beer-Hofmann","5"
"Karl Kraus","11988","Hugo von Hofmannsthal","11740","271","Directed","Karl Kraus–Hugo von Hofmannsthal","4"
"Karl Kraus","11988","Felix Salten","2167","130","Directed","Karl Kraus–Felix Salten","3"
"Karl Kraus","11988","Felix Dörmann","2425","12","Directed","Karl Kraus–Felix Dörmann","3"
"Karl Kraus","11988","Richard Specht","2456","14","Directed","Karl Kraus–Richard Specht","3"
"Karl Kraus","11988","Hermann Bahr","10815","208","Directed","Karl Kraus–Hermann Bahr","3"
"Karl Kraus","11988","Gilbert Otto Neumann-Hofer","12348","12","Directed","Karl Kraus–Gilbert Otto Neumann-Hofer","3"
"Karl Kraus","11988","Carl Busse","4494","2","Directed","Karl Kraus–Carl Busse","2"
"Karl Kraus","11988","Kete Fox","5693","2","Directed","Karl Kraus–Kete Fox","2"
"Karl Kraus","11988","Friedrich Elbogen","11243","2","Directed","Karl Kraus–Friedrich Elbogen","2"
"Karl Kraus","11988","Alexander Engel","11253","5","Directed","Karl Kraus–Alexander Engel","2"
"Karl Kraus","11988","Detlev von Liliencron","12071","8","Directed","Karl Kraus–Detlev von Liliencron","2"
"Karl Kraus","11988","Johann Schnitzler","12695","22","Directed","Karl Kraus–Johann Schnitzler","2"
"Karl Kraus","11988","Edmund Wengraf","13088","10","Directed","Karl Kraus–Edmund Wengraf","2"
"Karl Kraus","11988","Julius Bauer","2150","14","Directed","Karl Kraus–Julius Bauer","1"
"Karl Kraus","11988","Friedrich Schik","2420","2","Directed","Karl Kraus–Friedrich Schik","1"
"Karl Kraus","11988","Max Devrient","2446","3","Directed","Karl Kraus–Max Devrient","1"
"Karl Kraus","11988","Heinrich Osten","2509","6","Directed","Karl Kraus–Heinrich Osten","1"
"Karl Kraus","11988","Alexander Landesberg","2577","1","Directed","Karl Kraus–Alexander Landesberg","1"
"Karl Kraus","11988","Josef Jarno","2601","17","Directed","Karl Kraus–Josef Jarno","1"
"Karl Kraus","11988","Theodor Entsch","2871","2","Directed","Karl Kraus–Theodor Entsch","1"
"Karl Kraus","11988","Julie Falkner","5621","1","Directed","Karl Kraus–Julie Falkner","1"
"Karl Kraus","11988","Arthur Brehmer","5636","1","Directed","Karl Kraus–Arthur Brehmer","1"
"Karl Kraus","11988","Christian Lorey","5688","1","Directed","Karl Kraus–Christian Lorey","1"
"Karl Kraus","11988","Leopold Weiß","5696","1","Directed","Karl Kraus–Leopold Weiß","1"
"Karl Kraus","11988","Paul Schettler","5699","1","Directed","Karl Kraus–Paul Schettler","1"
"Karl Kraus","11988","Josef Schmid-Braunfels","5704","1","Directed","Karl Kraus–Josef Schmid-Braunfels","1"
"Karl Kraus","11988","Franziskus Haehnel","5746","1","Directed","Karl Kraus–Franziskus Haehnel","1"
"Karl Kraus","11988","Paul Barsch","5749","1","Directed","Karl Kraus–Paul Barsch","1"
"Karl Kraus","11988","Otto Julius Bierbaum","10928","4","Directed","Karl Kraus–Otto Julius Bierbaum","1"
"Karl Kraus","11988","Eleonora Duse","11201","8","Directed","Karl Kraus–Eleonora Duse","1"
"Karl Kraus","11988","Samuel Fischer","11324","50","Directed","Karl Kraus–Samuel Fischer","1"
"Karl Kraus","11988","Theodor Fontane","11342","1","Directed","Karl Kraus–Theodor Fontane","1"
"Karl Kraus","11988","Otto Erich Hartleben","11605","3","Directed","Karl Kraus–Otto Erich Hartleben","1"
"Karl Kraus","11988","Gerhart Hauptmann","11617","37","Directed","Karl Kraus–Gerhart Hauptmann","1"
"Karl Kraus","11988","Robert Hirschfeld","11707","26","Directed","Karl Kraus–Robert Hirschfeld","1"
"Karl Kraus","11988","Felix Hollaender","11752","2","Directed","Karl Kraus–Felix Hollaender","1"
"Karl Kraus","11988","Anton Lindner","12081","1","Directed","Karl Kraus–Anton Lindner","1"
"Karl Kraus","11988","Robert Misch","12261","1","Directed","Karl Kraus–Robert Misch","1"
"Karl Kraus","11988","Gustav von Moser","12296","1","Directed","Karl Kraus–Gustav von Moser","1"
"Karl Kraus","11988","Karl Peter Rosner","12564","5","Directed","Karl Kraus–Karl Peter Rosner","1"
"Karl Kraus","11988","Jakob Schreiner","12714","1","Directed","Karl Kraus–Jakob Schreiner","1"
"Karl Kraus","11988","Stefan Skrein","12796","1","Directed","Karl Kraus–Stefan Skrein","1"
"Karl Kraus","11988","Charlotte Wolter","13166","2","Directed","Karl Kraus–Charlotte Wolter","1"
"Karl Kraus","11988","Moriz von Barth","29165","1","Directed","Karl Kraus–Moriz von Barth","1"
"Karl Kraus","11988","Albert Claughten Fox","29168","1","Directed","Karl Kraus–Albert Claughten Fox","1"
