Source,Target,Weight,Type
"Altenberg, Peter","Georg Engländer",10,Directed
"Altenberg, Peter","Karl Richter",5,Directed
"Altenberg, Peter","Hermann Bahr",4,Directed
"Altenberg, Peter","Georg Hirschfeld",3,Directed
"Altenberg, Peter","Hugo von Hofmannsthal",3,Directed
"Altenberg, Peter","Richard Beer-Hofmann",2,Directed
"Altenberg, Peter","Gerhart Hauptmann",2,Directed
"Altenberg, Peter","Karl Kraus",2,Directed
"Altenberg, Peter","Franz Hansy",2,Directed
"Altenberg, Peter","Johann Schnitzler",1,Directed
"Altenberg, Peter","Egon Friedell",1,Directed
"Altenberg, Peter","Anna Holitscher",1,Directed
"Altenberg, Peter","Joris-Karl Huysmans",1,Directed
"Altenberg, Peter","Gustav Schwarzkopf",1,Directed
"Altenberg, Peter","Leo Ebermann",1,Directed
"Altenberg, Peter","Nah-Badû",1,Directed
"Altenberg, Peter","George Gordon Noël Lord Byron",1,Directed
"Altenberg, Peter","Friedrich Halm",1,Directed
"Altenberg, Peter","Ernst Hartmann",1,Directed
"Altenberg, Peter","Alfred Gold",1,Directed
"Altenberg, Peter","Jakob Wassermann",1,Directed
"Altenberg, Peter","Felix Salten",1,Directed
"Altenberg, Peter","Ottilie Salten",1,Directed
"Altenberg, Peter","Elly Petersen",1,Directed
"Altenberg, Peter","Detlev von Liliencron",1,Directed
"Altenberg, Peter","Paul Stefan",1,Directed
"Altenberg, Peter","Anton von Webern",1,Directed
"Altenberg, Peter","Wilhelm Wymetal [Musikschriftsteller]",1,Directed
"Altenberg, Peter","Max Devrient",1,Directed
"Altenberg, Peter","Charlotte Horwitz",1,Directed
