year,"von Schnitzler","Umfeld von Schnitzler", "an Schnitzler", "Umfeld an Schnitzler"
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,0,0,0,0
1892,0,0,0,0
1893,0,0,0,0
1894,0,0,0,0
1895,0,0,0,0
1896,0,0,0,0
1897,0,0,0,0
1898,0,0,0,0
1899,2859,0,619,0
1900,0,0,0,0
1901,0,0,0,0
1902,458,0,92,0
1903,217,0,282,0
1904,360,0,0,0
1905,279,0,1209,0
1906,378,0,180,0
1907,0,0,0,0
1908,0,0,0,0
1909,0,0,2882,0
1910,0,0,0,0
1911,0,0,0,0
1912,0,0,0,0
1913,0,0,0,0
1914,0,0,0,0
1915,0,0,0,0
1916,0,0,0,0
1917,0,0,0,0
1918,0,0,0,0
1919,0,0,0,0
1920,0,0,0,0
1921,0,0,0,0
1922,3635,0,319,0
1923,0,0,0,0
1924,0,0,0,0
1925,0,0,0,0
1926,0,0,0,0
1927,0,0,0,0
1928,0,0,0,0
1929,920,0,0,0
1930,0,0,0,0
1931,0,0,0,0
