Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Marie Herzfeld","11666","Hugo von Hofmannsthal","11740","271","Directed","Marie Herzfeld–Hugo von Hofmannsthal","3"
"Marie Herzfeld","11666","Heinrich Schnitzler","12692","114","Directed","Marie Herzfeld–Heinrich Schnitzler","1"
"Marie Herzfeld","11666","Arthur Schnitzler","2121","39","Directed","Marie Herzfeld–Arthur Schnitzler","1"
"Marie Herzfeld","11666","Georg Brandes","10992","37","Directed","Marie Herzfeld–Georg Brandes","1"
"Marie Herzfeld","11666","Johann Schnitzler","12695","22","Directed","Marie Herzfeld–Johann Schnitzler","1"
"Marie Herzfeld","11666","Karl Schönherr","12749","6","Directed","Marie Herzfeld–Karl Schönherr","1"
"Marie Herzfeld","11666","Peter Rotenstern","2992","5","Directed","Marie Herzfeld–Peter Rotenstern","2"
"Marie Herzfeld","11666","Heinrich Zimmer","13183","4","Directed","Marie Herzfeld–Heinrich Zimmer","1"
"Auguste Hauschner","2524","Guy de Maupassant","12201","7","Directed","Auguste Hauschner–Guy de Maupassant","1"
"Karin Michaëlis","4408","Olga Schnitzler","2173","459","Directed","Karin Michaëlis–Olga Schnitzler","1"
"Karin Michaëlis","4408","Peter Nansen","2357","19","Directed","Karin Michaëlis–Peter Nansen","1"
"Therese Rie-Andro","4836","Johann Wolfgang von Goethe","11461","44","Directed","Therese Rie-Andro–Johann Wolfgang von Goethe","1"
"Therese Rie-Andro","4836","Josef Kainz","11851","22","Directed","Therese Rie-Andro–Josef Kainz","1"
"Therese Rie-Andro","4836","Johann Schnitzler","12695","22","Directed","Therese Rie-Andro–Johann Schnitzler","2"
"Therese Rie-Andro","4836","William Shakespeare","2412","19","Directed","Therese Rie-Andro–William Shakespeare","1"
"Therese Rie-Andro","4836","Friedrich Nietzsche","12358","11","Directed","Therese Rie-Andro–Friedrich Nietzsche","1"
"Therese Rie-Andro","4836","Alexander Moissi","12274","7","Directed","Therese Rie-Andro–Alexander Moissi","1"
"Therese Rie-Andro","4836","Ernst von Dohnányi","11165","6","Directed","Therese Rie-Andro–Ernst von Dohnányi","1"
"Therese Rie-Andro","4836","Gustav Mahler","12163","4","Directed","Therese Rie-Andro–Gustav Mahler","1"
"Therese Rie-Andro","4836","Romain Rolland","12543","4","Directed","Therese Rie-Andro–Romain Rolland","2"
"Therese Rie-Andro","4836","Hans Pfitzner","2674","3","Directed","Therese Rie-Andro–Hans Pfitzner","3"
"Ludwig Ganghofer","11402","Otto Brahm","10986","112","Directed","Ludwig Ganghofer–Otto Brahm","1"
"Ludwig Ganghofer","11402","Ludwig Fulda","11391","15","Directed","Ludwig Ganghofer–Ludwig Fulda","1"
"Adalbert Franz Seligmann","12769","Max Eugen Burckhard","11036","55","Directed","Adalbert Franz Seligmann–Max Eugen Burckhard","1"
"Adalbert Franz Seligmann","12769","William Shakespeare","2412","19","Directed","Adalbert Franz Seligmann–William Shakespeare","1"
"Adalbert Franz Seligmann","12769","Siegfried Jacobsohn","11813","9","Directed","Adalbert Franz Seligmann–Siegfried Jacobsohn","1"
"Adalbert Franz Seligmann","12769","Alfred Polgar","2989","6","Directed","Adalbert Franz Seligmann–Alfred Polgar","1"
"Adalbert Franz Seligmann","12769","Heinrich Glücksmann","11454","5","Directed","Adalbert Franz Seligmann–Heinrich Glücksmann","1"
"Adalbert Franz Seligmann","12769","Hugo Wittmann","2739","3","Directed","Adalbert Franz Seligmann–Hugo Wittmann","1"
"Ferdinand von Saar","12602","Henrik Ibsen","11798","10","Directed","Ferdinand von Saar–Henrik Ibsen","1"
"Robert Adam","12438","Olga Schnitzler","2173","459","Directed","Robert Adam–Olga Schnitzler","3"
"Robert Adam","12438","Heinrich Schnitzler","12692","114","Directed","Robert Adam–Heinrich Schnitzler","3"
"Robert Adam","12438","Frieda Pollak","22728","50","Directed","Robert Adam–Frieda Pollak","2"
"Robert Adam","12438","Lili Cappellini","2238","39","Directed","Robert Adam–Lili Cappellini","4"
"Robert Adam","12438","Friedrich Nietzsche","12358","11","Directed","Robert Adam–Friedrich Nietzsche","1"
"Robert Adam","12438","Albert Steinrück","12837","11","Directed","Robert Adam–Albert Steinrück","2"
"Robert Adam","12438","Henrik Ibsen","11798","10","Directed","Robert Adam–Henrik Ibsen","1"
"Robert Adam","12438","Alexandre père Dumas","11190","7","Directed","Robert Adam–Alexandre père Dumas","6"
"Robert Adam","12438","Alexander Moissi","12274","7","Directed","Robert Adam–Alexander Moissi","1"
"Robert Adam","12438","Jesus","5539","5","Directed","Robert Adam–Jesus","1"
"Robert Adam","12438","Alexander Engel","11253","5","Directed","Robert Adam–Alexander Engel","1"
"Robert Adam","12438","Heinrich Glücksmann","11454","5","Directed","Robert Adam–Heinrich Glücksmann","3"
"Robert Adam","12438","Giacomo Girolamo Casanova","3145","4","Directed","Robert Adam–Giacomo Girolamo Casanova","1"
"Robert Adam","12438","Arthur Schopenhauer","5787","4","Directed","Robert Adam–Arthur Schopenhauer","1"
"Robert Adam","12438","Romain Rolland","12543","4","Directed","Robert Adam–Romain Rolland","1"
"Robert Adam","12438","Hugo Thimig","12948","4","Directed","Robert Adam–Hugo Thimig","1"
"Robert Adam","12438","Viktor Franz Patzner","29179","4","Directed","Robert Adam–Viktor Franz Patzner","4"
"Robert Adam","12438","Molière","3272","3","Directed","Robert Adam–Molière","1"
"Peter Altenberg","2147","Olga Schnitzler","2173","459","Directed","Peter Altenberg–Olga Schnitzler","1"
"Peter Altenberg","2147","Richard Beer-Hofmann","10863","356","Directed","Peter Altenberg–Richard Beer-Hofmann","2"
"Peter Altenberg","2147","Hugo von Hofmannsthal","11740","271","Directed","Peter Altenberg–Hugo von Hofmannsthal","2"
"Peter Altenberg","2147","Hermann Bahr","10815","208","Directed","Peter Altenberg–Hermann Bahr","1"
"Peter Altenberg","2147","Gustav Schwarzkopf","12740","87","Directed","Peter Altenberg–Gustav Schwarzkopf","1"
"Peter Altenberg","2147","Gerhart Hauptmann","11617","37","Directed","Peter Altenberg–Gerhart Hauptmann","2"
"Peter Altenberg","2147","Karl Kraus","11988","27","Directed","Peter Altenberg–Karl Kraus","1"
"Peter Altenberg","2147","Leo Ebermann","2157","10","Directed","Peter Altenberg–Leo Ebermann","1"
"Peter Altenberg","2147","Karl Richter","23360","7","Directed","Peter Altenberg–Karl Richter","5"
"Peter Altenberg","2147","Georg Engländer","2260","6","Directed","Peter Altenberg–Georg Engländer","3"
"Peter Altenberg","2147","Franz Hansy","2320","3","Directed","Peter Altenberg–Franz Hansy","2"
"Lou Andreas-Salomé","10762","Olga Schnitzler","2173","459","Directed","Lou Andreas-Salomé–Olga Schnitzler","1"
"Lou Andreas-Salomé","10762","Richard Beer-Hofmann","10863","356","Directed","Lou Andreas-Salomé–Richard Beer-Hofmann","1"
"Lou Andreas-Salomé","10762","Paul Goldmann","11485","157","Directed","Lou Andreas-Salomé–Paul Goldmann","3"
"Lou Andreas-Salomé","10762","Otto Brahm","10986","112","Directed","Lou Andreas-Salomé–Otto Brahm","1"
"Lou Andreas-Salomé","10762","Fedor Mamroth","4986","77","Directed","Lou Andreas-Salomé–Fedor Mamroth","1"
"Lou Andreas-Salomé","10762","Georg Brandes","10992","37","Directed","Lou Andreas-Salomé–Georg Brandes","1"
"Lou Andreas-Salomé","10762","Gerhart Hauptmann","11617","37","Directed","Lou Andreas-Salomé–Gerhart Hauptmann","2"
"Lou Andreas-Salomé","10762","Max Halbe","11565","7","Directed","Lou Andreas-Salomé–Max Halbe","1"
"Hermann Bahr","10815","Olga Schnitzler","2173","459","Directed","Hermann Bahr–Olga Schnitzler","104"
"Hermann Bahr","10815","Richard Beer-Hofmann","10863","356","Directed","Hermann Bahr–Richard Beer-Hofmann","11"
"Hermann Bahr","10815","Hugo von Hofmannsthal","11740","271","Directed","Hermann Bahr–Hugo von Hofmannsthal","19"
"Hermann Bahr","10815","Paul Goldmann","11485","157","Directed","Hermann Bahr–Paul Goldmann","2"
"Hermann Bahr","10815","Felix Salten","2167","130","Directed","Hermann Bahr–Felix Salten","12"
"Hermann Bahr","10815","Heinrich Schnitzler","12692","114","Directed","Hermann Bahr–Heinrich Schnitzler","12"
"Hermann Bahr","10815","Otto Brahm","10986","112","Directed","Hermann Bahr–Otto Brahm","15"
"Hermann Bahr","10815","Louise Schnitzler","12701","76","Directed","Hermann Bahr–Louise Schnitzler","1"
"Hermann Bahr","10815","Heinrich Kanner","11867","75","Directed","Hermann Bahr–Heinrich Kanner","39"
"Hermann Bahr","10815","Isidor Singer","12790","64","Directed","Hermann Bahr–Isidor Singer","40"
"Hermann Bahr","10815","Marie Reinhard","2378","59","Directed","Hermann Bahr–Marie Reinhard","1"
"Hermann Bahr","10815","Gertrude von Hofmannsthal","2292","55","Directed","Hermann Bahr–Gertrude von Hofmannsthal","1"
"Hermann Bahr","10815","Max Eugen Burckhard","11036","55","Directed","Hermann Bahr–Max Eugen Burckhard","14"
"Hermann Bahr","10815","Samuel Fischer","11324","50","Directed","Hermann Bahr–Samuel Fischer","7"
"Hermann Bahr","10815","Frieda Pollak","22728","50","Directed","Hermann Bahr–Frieda Pollak","1"
"Hermann Bahr","10815","Julius Schnitzler","12698","45","Directed","Hermann Bahr–Julius Schnitzler","5"
"Hermann Bahr","10815","Johann Wolfgang von Goethe","11461","44","Directed","Hermann Bahr–Johann Wolfgang von Goethe","1"
"Hermann Bahr","10815","Elisabeth Steinrück","2315","43","Directed","Hermann Bahr–Elisabeth Steinrück","1"
"Hermann Bahr","10815","Paul Schlenther","12671","43","Directed","Hermann Bahr–Paul Schlenther","2"
"Hermann Bahr","10815","Georg Hirschfeld","11701","40","Directed","Hermann Bahr–Georg Hirschfeld","2"
"Hermann Bahr","10815","Arthur Schnitzler","2121","39","Directed","Hermann Bahr–Arthur Schnitzler","3"
"Hermann Bahr","10815","Lili Cappellini","2238","39","Directed","Hermann Bahr–Lili Cappellini","4"
"Hermann Bahr","10815","Adele Sandrock","12618","39","Directed","Hermann Bahr–Adele Sandrock","3"
